city_ascii,lat,lng,iso2,population
Zhetiqara,52.193,61.2399,KZ,46740
Aqadyr,48.2749,72.8599,KZ,9710
Zharkent,44.1616,79.9801,KZ,36496
Qulsary,46.9833,54.0165,KZ,37103
Balyqshy,47.0666,51.8666,KZ,31624
Atyrau,47.1127,51.92,KZ,182753
Xiangkhoang,19.3337,103.3666,LA,5189
Muang Phonsavan,19.45,103.2167,LA,
Vientiane,17.9667,102.6,LA,754000
Ban Houayxay,20.2775,100.4128,LA,6347
Muang Phon-Hong,18.4957,102.4142,LA,
Louang Namtha,20.95,101.4167,LA,3225
Phongsali,21.6833,102.1,LA,6000
Thakhek,17.4112,104.8361,LA,76928
Muang Pakxan,18.3826,103.6586,LA,
Louangphrabang,19.8845,102.1416,LA,107142
Xaignabouri,19.2505,101.7501,LA,16200
Savannakhet,16.5376,104.773,LA,84898
Lamam,15.4171,106.6946,LA,
Pakxe,15.1221,105.8183,LA,102775
Attapu,14.808,106.839,LA,4297
Xam Nua,20.4167,104.0333,LA,38992
Muang Xai,20.6923,101.9847,LA,
Saravan,15.716,106.427,LA,5521
Champasak,14.8833,105.8667,LA,12994
Beirut,33.872,35.5097,LB,1846000
Zahle,33.8501,35.9042,LB,78145
Baalbek,34.0058,36.2181,LB,
B'abda,33.8333,35.5333,LB,9000
Halba,34.5428,36.0797,LB,
Saida,33.563,35.3688,LB,173894
Nabatiye et Tahta,33.3833,35.45,LB,80000
Trablous,34.42,35.87,LB,530000
Castries,14.002,-61,LC,37963
Gamprin,47.2197,9.5113,LI,
Triesenberg,47.1182,9.5444,LI,
Schaan,47.1661,9.5096,LI,
Ruggell,47.2408,9.5247,LI,
Mauren,47.2205,9.5426,LI,
Eschen,47.2109,9.5216,LI,
Triesen,47.1101,9.524,LI,
Balzers,47.0667,9.5025,LI,
Vaduz,47.1337,9.5167,LI,36281
Planken,47.1844,9.5436,LI,
Schellenberg,47.2325,9.5463,LI,
Colombo,6.932,79.8578,LK,217000
Ratnapura,6.693,80.386,LK,47832
Matara,5.949,80.5428,LK,68244
Sri Jawewardenepura Kotte,6.9,79.95,LK,115826
Moratuwa,6.7804,79.88,LK,200000
Anuradhapura,8.35,80.3833,LK,118302
Galle,6.03,80.24,LK,99478
Puttalan,8.033,79.826,LK,45661
Kandy,7.28,80.67,LK,111701
Badulla,6.9837,81.0499,LK,47587
Trincomalee,8.569,81.233,LK,108420
Kilinochchi,9.4004,80.3999,LK,103717
Batticaloa,7.717,81.7,LK,129222
Jaffna,9.675,80.005,LK,250000
Bopolu,7.0667,-10.4875,LR,
Voinjama,8.4167,-9.75,LR,26594
Robertsport,6.7533,-11.3686,LR,11969
Buchanan,5.9161,-10.0525,LR,48315
Monrovia,6.3106,-10.8048,LR,1041000
Tubmanburg,6.8706,-10.8211,LR,
Buchanan,5.8811,-10.0447,LR,
Zwedru,6.0704,-8.13,LR,25678
Barclayville,4.8,-8.1667,LR,2733
Rivercess,5.465,-9.578,LR,2578
Fish Town,5.1974,-7.8758,LR,
Gbarnga,7.0104,-9.49,LR,45835
Kakata,6.526,-10.349,LR,33945
Sanniquellie,7.371,-8.685,LR,11415
Greenville,5.0111,-9.0388,LR,10374
Bensonville,6.4333,-10.6,LR,4089
Harper,4.3754,-7.717,LR,32661
Maseru,-29.3167,27.4833,LS,361324
Mokhotlong,-29.291,29.078,LS,8809
Thaba-Tseka,-29.522,28.6084,LS,
Moyeni,-30.411,27.716,LS,24130
Qacha's Nek,-30.1154,28.6894,LS,
Mafetang,-29.8166,27.25,LS,57059
Hlotse,-28.878,28.056,LS,47675
Teyateyaneng,-29.153,27.753,LS,5115
Mohales Hoek,-30.159,27.48,LS,24992
Butha-Buthe,-28.75,28.25,LS,16330
Klaipeda,55.7204,21.1199,LT,192307
Palanga,55.9203,21.071,LT,
Nida,55.3086,20.9965,LT,
Kretinga,55.8888,21.2445,LT,
Taurage,55.2522,22.2897,LT,
Silute,55.3453,21.4733,LT,
Rietavas,55.7271,21.9234,LT,
Plunge,55.9077,21.8456,LT,
Silale,55.4898,22.1869,LT,
Visaginas,55.5968,26.4398,LT,
Zarasai,55.7322,26.2512,LT,
Ignalina,55.3406,26.1605,LT,
Utena,55.4976,25.5992,LT,
Svencionys,55.133,26.1595,LT,
Rokiskis,55.9587,25.5947,LT,
Moletai,55.2247,25.4169,LT,
Salcininkai,54.3086,25.3868,LT,
Vilnius,54.6834,25.3166,LT,542366
Kupiskis,55.8401,24.9803,LT,
Trakai,54.6399,24.936,LT,
Birzai,56.1986,24.7521,LT,
Anyksciai,55.5246,25.1066,LT,
Telsiai,55.9831,22.2343,LT,
Kelme,55.6301,22.9349,LT,
Marijampole,54.5599,23.3541,LT,
Lazdijai,54.2333,23.5147,LT,
Sakiai,54.9534,23.0478,LT,
Radviliskis,55.8111,23.5411,LT,
Siauliai,55.9386,23.325,LT,133528
Birstonas,54.6048,24.0311,LT,
Druskininkai,54.0157,23.987,LT,
Kedainiai,55.2878,23.9727,LT,
Alytus,54.3964,24.0414,LT,
Prienai,54.636,23.9458,LT,
Elektrenai,54.7863,24.6626,LT,
Kaunas,54.9504,23.88,LT,374643
Jonava,55.0801,24.2754,LT,
Kaisiadorys,54.8653,24.4682,LT,
Panevezys,55.74,24.37,LT,127405
Joniskis,56.2394,23.6154,LT,
Kazlu Ruda,54.7497,23.495,LT,
Vilkaviskis,54.648,23.0305,LT,
Pasvalys,56.0625,24.3997,LT,
Pakruojis,55.9789,23.8551,LT,
Raseiniai,55.3797,23.1239,LT,
Pagegiai,55.1379,21.9138,LT,
Jurbarkas,55.0756,22.7642,LT,
Kalvarija,54.4172,23.2283,LT,
Sirvintos,55.044,24.9545,LT,
Skuodas,56.2706,21.5321,LT,
Mazeikiai,56.3122,22.3265,LT,
Akmene,56.25,22.75,LT,
Ukmerge,55.2494,24.7636,LT,
Varena,54.2155,24.5754,LT,
Capellen,49.645,5.9908,LU,
Esch-sur-Alzette,49.4958,5.9806,LU,
Remich,49.545,6.3669,LU,
Echternach,49.8056,6.4222,LU,
Mersch,49.7489,6.1061,LU,
Redange-sur-Attert,49.7656,5.8908,LU,
Vianden,49.935,6.2089,LU,
Wiltz,49.9689,5.9319,LU,
Clervaux,50.0547,6.0314,LU,
Diekirch,49.8833,6.1667,LU,6242
Grevenmacher,49.7,6.3333,LU,3958
Luxembourg,49.6117,6.13,LU,107260
Skrunda,56.6833,22.0167,LV,
Daugavpils,55.88,26.51,LV,111564
Jekabpils,56.4833,25.85,LV,
Aglona,56.1333,27.0167,LV,
Lielvarde,56.7225,24.805,LV,
Saldus,56.6667,22.5,LV,
Ozolnieki,56.6864,23.7878,LV,
Broceni,56.7,22.5333,LV,
Jelgava,56.6527,23.7128,LV,67207
Pilsrundale,56.4167,24,LV,
Dobele,56.625,23.2786,LV,
Iecava,56.5986,24.2022,LV,
Jaunpils,56.7325,23.0136,LV,
Auce,56.4667,22.8833,LV,
Tukums,56.9669,23.1553,LV,
Tervete,56.4781,23.3867,LV,
Salacgriva,57.7531,24.359,LV,
Ventspils,57.3899,21.5606,LV,42884
Dundaga,57.505,22.3504,LV,
Jaunjelgava,56.6132,25.0832,LV,
Nereta,56.2044,25.3077,LV,
Alsunga,56.9801,21.564,LV,
Kuldiga,56.969,21.968,LV,
Pavilosta,56.8898,21.1817,LV,
Pinki,56.9419,23.9137,LV,
Adazi,57.0705,24.3371,LV,
Kandava,57.0389,22.7724,LV,
Roja,57.5015,22.8088,LV,
Carnikava,57.1293,24.2842,LV,
Garkalne,57.0449,24.4195,LV,
Saulkrasti,57.2599,24.4189,LV,
Smarde,56.9533,23.3387,LV,
Mersrags,57.3364,23.1235,LV,
Talsi,57.2465,22.5876,LV,
Jurmala,56.9567,23.7233,LV,
Marupe,56.9032,24.0467,LV,
Ulbroka,56.9363,24.3039,LV,
Zilupe,56.386,28.1218,LV,
Ludza,56.5396,27.7189,LV,
Dagda,56.0961,27.5328,LV,
Baltinava,56.9439,27.644,LV,
Cibla,56.5498,27.8837,LV,
Karsava,56.7874,27.6732,LV,
Riga,56.95,24.1,LV,742572
Kraslava,55.8969,27.172,LV,
Limbazi,57.513,24.724,LV,
Preili,56.294,26.7248,LV,
Vecvarkava,56.1984,26.5081,LV,
Ilukste,55.9779,26.2978,LV,
Nica,56.3456,21.0646,LV,
Bauska,56.4079,24.1944,LV,
Vilaka,57.1843,27.6719,LV,
Livani,56.3567,26.1761,LV,
Aluksne,57.4216,27.0466,LV,
Rezekne,56.5,27.3166,LV,38340
Rugaji,57.0033,27.1337,LV,
Riebini,56.3403,26.7999,LV,
Vilani,56.5505,26.9298,LV,
Varaklani,56.6091,26.7547,LV,
Ape,57.5394,26.694,LV,
Madona,56.851,26.2184,LV,
Jaunpiebalga,57.1775,26.0284,LV,
Lubana,56.9043,26.7161,LV,
Gulbene,57.1734,26.7527,LV,
Balvi,57.1287,27.27,LV,
Akniste,56.1615,25.7482,LV,
Viesite,56.3465,25.5581,LV,
Cesvaine,56.9675,26.3076,LV,
Kegums,56.7455,24.725,LV,
Vecpiebalga,57.0618,25.8179,LV,
Smiltene,57.4242,25.9017,LV,
Drabesi,57.2433,25.2803,LV,
Cesis,57.3091,25.2761,LV,
Ergli,56.8988,25.6429,LV,
Valka,57.7767,26.0118,LV,
Grobina,56.5358,21.1747,LV,
Strenci,57.6269,25.6919,LV,
Murmuiza,57.4731,25.4917,LV,
Mazsalaca,57.8619,25.0547,LV,
Aloja,57.7672,24.8774,LV,
Burtnieki,57.6949,25.275,LV,
Koknese,56.6516,25.4364,LV,
Aizkraukle,56.6029,25.2636,LV,
Skriveri,56.6485,25.1195,LV,
Baldone,56.7445,24.4008,LV,
Vecumnieki,56.6061,24.5223,LV,
Sala,56.5047,25.7618,LV,
Plavinas,56.6177,25.7194,LV,
Liepaga,56.51,21.01,LV,85132
Rujiena,57.8961,25.3342,LV,
Naukseni,57.8842,25.458,LV,
Liegi,56.5797,21.3338,LV,
Rauna,57.3337,25.6085,LV,
Aizpute,56.7211,21.6016,LV,
Koceni,57.5198,25.3404,LV,
Valmiera,57.5387,25.4257,LV,
Sigulda,57.1538,24.8595,LV,
Priekuli,57.3115,25.3571,LV,
Ogre,56.8113,24.6113,LV,
Ragana,57.1821,24.7056,LV,
Loja,57.1534,24.6433,LV,
Ropazi,56.9747,24.6329,LV,
Priekule,56.4458,21.5939,LV,
Rucava,56.164,21.1627,LV,
Salaspils,56.861,24.3498,LV,
Ikskile,56.834,24.4968,LV,
Incukalns,57.0987,24.6863,LV,
Malpils,57.0101,24.9578,LV,
Olaine,56.7947,23.9358,LV,
Kekava,56.8296,24.2318,LV,
Ligatne,57.2379,25.0436,LV,
Stalbe,57.3708,25.0324,LV,
Vainode,56.4185,21.8541,LV,
Tripoli,32.8925,13.18,LY,2189000
Gharyan,32.1704,13.02,LY,146810
Surt,31.21,16.59,LY,128123
Marzuq,25.9044,13.8972,LY,55071
Sabha,27.0333,14.4333,LY,100249
Misratah,32.38,15.1,LY,386120
Al `Aziziyah,32.5319,13.0175,LY,
Zuwarah,32.9344,12.0791,LY,180310
Nalut,31.8804,10.97,LY,66609
Hun,29.1167,15.9333,LY,18878
Darnah,32.7648,22.6391,LY,127974
Al Bayda,32.7604,21.62,LY,1794
Az Zawiyah,32.7604,12.72,LY,200000
Tajarhi,24.3704,14.4708,LY,1500
Al Jaghbub,29.7504,24.5166,LY,1744
Awjilah,29.108,21.2869,LY,6610
Al Khums,32.6604,14.26,LY,201943
Ajdabiya,30.77,20.22,LY,143833
Al Kufrah,24.1667,23.2696,LY,
Al Jawf,24.2,23.29,LY,24132
As Sidr,30.6704,18.2666,LY,50
Umm al Abid,27.517,15.0333,LY,300
Banghazi,32.1167,20.0667,LY,1180000
Dirj,30.1679,10.4567,LY,931
Mizdah,31.4337,12.9833,LY,26107
Ghadamis,30.1333,9.5,LY,6623
Qaminis,31.6606,20.0155,LY,5348
Awbari,26.5903,12.7751,LY,
Ghat,24.9647,10.1728,LY,24347
Bani Walid,31.7704,13.99,LY,65392
Zillah,28.5504,17.5834,LY,10
Tmassah,26.3666,15.8,LY,500
Idri,27.4471,13.0517,LY,
El Agheila,30.257,19.2,LY,100
Birak,27.5333,14.2834,LY,45421
Maradah,29.2337,19.2166,LY,2500
Shahhat,32.8281,21.8622,LY,45000
Al Marj,32.5005,20.83,LY,169540
Tubruq,32.08,23.96,LY,263527
Kenitra,34.2704,-6.58,MA,551786
Goulimine,28.98,-10.07,MA,115267
Fez,34.0546,-5.0004,MA,1002000
Casablanca,33.6,-7.6164,MA,3181000
Agadir,30.44,-9.62,MA,825467
Beni Mellal,32.3373,-6.3498,MA,
Tangier,35.7473,-5.8327,MA,750060
Settat,33.0104,-7.62,MA,161748
Oujda,34.69,-1.91,MA,409391
Meknes,33.9004,-5.56,MA,697628
Rabat,34.0253,-6.8361,MA,1705000
Marrakesh,31.63,-8,MA,872000
El Jadida,33.2604,-8.51,MA,180470
Er Rachidia,31.9404,-4.45,MA,228489
Tan Tan,28.4304,-11.1,MA,64868
Taza,34.2204,-4.02,MA,199633
Larache,35.2004,-6.16,MA,120082
Ksar El Kebir,35.0204,-5.91,MA,306600
Safi,32.32,-9.24,MA,353476
Tiznit,29.7104,-9.74,MA,57705
Ouezzane,34.8103,-5.57,MA,69658
Monaco,43.7396,7.4069,MC,36371
Leova,46.4823,28.253,MD,
Rezina,47.7493,28.9658,MD,
Causeni,46.6367,29.4111,MD,
Riscani,47.9479,27.5638,MD,
Singerei,47.6363,28.143,MD,
Falesti,47.5767,27.7126,MD,
Floresti,47.8914,28.2931,MD,
Soldanesti,47.8161,28.7972,MD,
Stefan Voda,46.5129,29.6619,MD,
Orhei,47.3849,28.8245,MD,
Comrat,46.2946,28.6565,MD,
Cimislia,46.5268,28.7644,MD,
Cantemir,46.2774,28.2027,MD,
Basarabeasca,46.3317,28.9636,MD,
Edinet,48.1721,27.3034,MD,
Ocnita,48.3827,27.4381,MD,
Drochia,48.0355,27.8129,MD,
Donduseni,48.2394,27.6056,MD,
Briceni,48.3629,27.0779,MD,
Ialoveni,46.9435,28.7823,MD,
Balti,47.7591,27.9053,MD,151355
Criuleni,47.2131,29.1593,MD,
Bender,46.8316,29.4777,MD,
Anenii Noi,46.8784,29.2348,MD,
Cahul,45.9079,28.1944,MD,63407
Chisinau,47.005,28.8577,MD,688134
Straseni,47.1422,28.6077,MD,
Tiraspol,46.8531,29.64,MD,157000
Telenesti,47.5011,28.3654,MD,
Taraclia,45.9027,28.6682,MD,
Dubasari,47.2631,29.1608,MD,23254
Cocieri,47.3087,29.1101,MD,
Calarasi,47.2556,28.3099,MD,
Glodeni,47.7751,27.5189,MD,
Hincesti,46.8305,28.5906,MD,
Nisporeni,47.0816,28.1714,MD,
Soroca,48.1566,28.2849,MD,
Ungheni,47.2108,27.8005,MD,
Berane,42.8425,19.8733,ME,
Plav,42.5969,19.9456,ME,
Andrijevica,42.7339,19.7919,ME,
Petnjica,42.9089,19.9644,ME,
Gusinje,42.5619,19.8339,ME,
Kolasin,42.8242,19.5225,ME,
Podgorica,42.466,19.2663,ME,145850
Bijelo Polje,43.0292,19.7456,ME,
Bar,42.0931,19.1003,ME,
Budva,42.2864,18.84,ME,
Cetinje,42.3922,18.9225,ME,
